Country Name,Country Code,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Aruba,ABW,30723,30589,30262,29975,30039,30658,31929,33753,35871,37915,39616,40906,41836,42520,43149,43841,44646,45486,46310,47025,47575,47936,48137,48249,48341,48467,48649,48876,49127,49378,49598,49799,
Afghanistan,AFG,6018078,5926288,5874818,5893319,6017386,6267967,6666301,7195469,7791066,8363390,8849356,9219569,9495939,9729038,9995063,10346986,10803963,11342077,11919887,12476432,12969247,13381926,13732622,14054874,14398315,14797694,15264598,15784301,16333412,16876928,17389625,17864423,
Angola,AGO,5186190,5339056,5484781,5629707,5782990,5951053,6137180,6339072,6550825,6763717,6972032,7173636,7372303,7575412,7793313,8033545,8298798,8587105,8895760,9220109,9556746,9904946,10265910,10640262,11029120,11433115,11852498,12286368,12732763,13189103,13653564,14125405,
Albania,ALB,1522080,1552819,1585881,1617007,1659149,1683244,1661987,1636420,1609515,1585907,1569137,1560944,1559800,1562331,1563784,1560981,1548466,1542010,1531950,1521004,1510064,1499018,1487273,1476369,1467513,1461599,1459381,1459114,1458648,1457453,1454334,1452292,
Andorra,AND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,98294965,101287129,104327021,107404525,110506415,114621554,117800551,119899678,123151710,126324186,130306661,133224277,136065591,138863468,141726120,144718354,147851480,151122471,154562558,158204457,162065758,166162755,170476001,174946300,179477763,184000856,188495044,192963246,197395503,201789533,206144145,210445642,
United Arab Emirates,ARE,905152,954953,1013303,1078713,1148450,1220563,1296259,1376729,1460087,1543778,1626755,1711675,1802259,1900361,2008095,2129352,2253656,2385700,2561550,2829292,3217402,3746924,4391574,5074498,5689598,6161490,6461097,6612594,6659495,6669991,6694720,6744664,
Argentina,ARG,14939405,15161574,15382934,15603797,15825067,16047204,16270360,16493560,16714908,16931906,17142953,17347100,17545244,17739822,17934338,18131323,18331826,18535209,18740331,18945315,19148908,19350590,19551139,19752158,19955888,20163793,20376426,20592912,20811443,21029519,21245214,21457908,
Armenia,ARM,1628364,1655207,1683008,1706506,1718649,1714815,1692673,1654929,1608294,1562321,1524013,1495573,1475292,1461447,1450802,1440918,1431977,1424809,1418253,1410904,1401871,1390331,1376748,1363148,1352359,1346351,1345834,1349909,1356932,1364486,1370758,1375250,
American Samoa,ASM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,33889,33367,32848,32430,32203,32250,32600,33233,34048,34933,35781,36559,37290,37992,38686,39389,40103,40812,41504,42160,42782,43343,43876,44378,44873,45370,45874,46390,46911,47425,47939,48454,
Australia,AUS,7867239,7996720,8118032,8249922,8387930,8509474,8614154,8714049,8794741,8885029,8992313,9113662,9221263,9324319,9437479,9555006,9686738,9805864,9927012,10043018,10178569,10334386,10405323,10622124,10847186,11017251,11166980,11352999,11537438,11699505,11856532,12021005,
Austria,AUT,3596364,3602463,3608671,3618029,3639196,3672618,3715871,3764035,3802473,3824118,3836304,3847121,3856495,3865064,3876199,3888395,3905356,3925924,3945945,3971306,3999505,4020734,4035484,4050212,4063307,4075960,4093052,4115499,4143562,4177870,4226380,4285735,
Azerbaijan,AZE,3268405,3321891,3376320,3431352,3486555,3500489,3553815,3606982,3661399,3710633,3753172,3790889,3827454,3864371,3899994,3935204,3970493,4006311,4043667,4086139,4134503,4185803,4238519,4333036,4428396,4485924,4549357,4614743,4679119,4741751,4801853,4860704,
Burundi,BDI,2280325,2351043,2426209,2502660,2576113,2643521,2704364,2759694,2810095,2856713,2900889,2942267,2981944,3024545,3076038,3140702,3220362,3313961,3419201,3532388,3650631,3773714,3902143,4034473,4169101,4304966,4441017,4577647,4716987,4862157,5015273,5177062,
Belgium,BEL,4818768,4821284,4826362,4842768,4861369,4876707,4895500,4915880,4935471,4950976,4961594,4971479,4983657,4994557,5006580,5019740,5038558,5063146,5086571,5110738,5140743,5176328,5215888,5258411,5301687,5350771,5425290,5464177,5490864,5505482,5541882,5585783,
Benin,BEN,2072577,2135321,2200613,2269539,2343544,2423543,2510181,2602819,2699502,2797457,2894761,2990565,3085567,3181233,3279808,3382860,3490952,3603444,3719314,3836993,3955403,4074234,4194025,4315621,4440262,4568836,4701592,4838309,4978823,5122843,5270127,5420681,
Burkina Faso,BFA,3775648,3873859,3975820,4081648,4191546,4305690,4424199,4547104,4674454,4806274,4942640,5083686,5229682,5381022,5538202,5701658,5871498,6047906,6231413,6422634,6622001,6829730,7045682,7269411,7500235,7737622,7981444,8231713,8488178,8750599,9018776,9292562,
Bangladesh,BGD,47657795,48964831,50292949,51629657,52959323,54270961,55556368,56818053,58068797,59327823,60607850,61908996,63222337,64540091,65851128,67144693,68424897,69687123,70901945,72031407,73051455,73946800,74732913,75454664,76175414,76941068,77768403,78645073,79552351,80459145,81342972,82198905,
Bulgaria,BGR,4443375,4437222,4438493,4437978,4380725,4296743,4248632,4197429,4158316,4138669,4115114,4089272,4060288,4029661,4004021,3981680,3901107,3815745,3784523,3755402,3726978,3698961,3672411,3647394,3624463,3600769,3577330,3555800,3534819,3513651,3490391,3465355,
Bahrain,BHR,239714,247705,257059,267170,277090,286170,294453,302323,309882,317315,324897,332613,340858,350778,363871,381226,402690,428002,457881,493193,534147,582041,635708,689914,737590,774051,796306,806678,812280,823306,846757,885454,
"Bahamas, The",BHS,116449,118637,120753,122842,124955,127162,129503,131950,134365,136555,138406,139829,140935,141962,143261,145097,147542,150513,153852,157311,160713,164004,167231,170374,173428,176389,179245,181974,184567,187024,189349,191536,
Bosnia and Herzegovina,BIH,2174946,2197078,2219175,2234335,2233354,2210490,2162187,2092646,2013408,1940637,1885952,1853417,1839650,1839591,1844985,1849595,1852352,1854856,1856642,1857663,1857792,1856780,1854031,1848798,1840250,1828009,1811419,1791138,1769632,1750294,1735500,1726228,
Belarus,BLR,4656356,4692754,4729721,4748401,4766670,4778366,4781766,4791663,4801233,4794613,4779054,4764284,4746193,4725847,4707116,4684213,4657329,4623104,4585022,4547723,4511062,4478373,4453195,4433893,4421023,4411603,4402881,4399404,4401400,4406803,4414950,4423747,
Belize,BLZ,83076,85417,87832,90237,92505,94571,96360,97949,99578,101597,104242,107613,111599,115968,120363,124519,128349,131946,135378,138811,142329,145962,149672,153418,157163,160869,164530,168164,171789,175429,179106,182815,
Bermuda,BMU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,BOL,3110675,3174770,3239077,3303939,3369810,3437041,3505691,3575685,3647060,3719850,3794027,3869632,3946560,4024468,4102888,4181460,4260052,4338688,4417338,4496071,4574931,4653862,4732823,4811868,4891071,4970471,5050069,5129856,5209865,5290137,5370711,5451584,
Brazil,BRA,67392605,68776051,70132512,71463558,72773389,74065784,75337893,76589451,77830183,79073046,80326481,81593981,82870275,84144042,85399151,86623241,87813754,88972136,90095059,91179697,92224752,93226927,94187803,95117172,96028649,96931915,97830532,98721348,99599041,100455246,101283707,102083113,
Barbados,BRB,122261,122872,123508,124143,124757,125319,125815,126263,126677,127081,127492,127921,128362,128808,129233,129637,130016,130370,130723,131102,131532,132016,132544,133098,133640,134147,134616,135048,135455,135826,136177,136498,
Brunei Darussalam,BRN,118582,121891,125367,128964,132680,136467,140364,144345,148281,151994,155368,158319,160908,163340,165891,168751,172015,175588,179329,182991,186399,189534,192429,195171,197885,200665,203524,206427,209347,212251,215098,217897,
Bhutan,BTN,240688,248658,257543,266105,272653,276084,275880,272694,268118,264412,263222,265037,269401,275940,283903,292714,302361,312899,323870,334679,344887,354266,362826,370725,378258,385612,392823,399773,406418,412657,418442,423750,
Botswana,BWA,582593,601634,620566,639474,658521,677771,697249,716843,736282,755201,773333,790649,807218,822976,837897,852004,865243,877763,890019,902629,916030,930407,945715,961880,978746,996190,1014201,1032815,1051962,1071600,1091641,1112054,
Central African Republic,CAF,1294244,1324963,1353436,1381281,1410850,1443775,1480581,1520577,1562735,1605465,1647594,1688783,1729252,1769089,1808543,1847763,1886444,1924303,1961523,1998368,2034901,2071823,2108767,2143409,2172662,2194632,2208264,2215201,2219605,2227221,2242274,2266183,
Canada,CAN,12882440,13008005,13176159,13344207,13580939,13781230,13964994,14131783,14281671,14415118,14532342,14689130,14846373,14977834,15105132,15241867,15398999,15540087,15697939,15858471,16018324,16149592,16310314,16490904,16683127,16871227,17038535,17239606,17438881,17630939,17782136,18001277,
Central Europe and the Baltics,CEB,53265861,53497476,53709919,53892078,53934464,53889476,53643227,53475348,53481269,53419861,53337948,53140219,53063364,52916510,52840338,52476812,52155744,51787091,51598601,51434672,51277386,51135548,50938015,50753409,50655949,50472958,50294675,50178456,50070017,49964114,49849372,49714051,
Switzerland,CHE,3152410,3170239,3191567,3216370,3243584,3277968,3319861,3357102,3388076,3415348,3438373,3453728,3462227,3472765,3489693,3509827,3532690,3560269,3587920,3614448,3640276,3666645,3703751,3755812,3807911,3852549,3900234,3946311,3996107,4048932,4098592,4145763,
Channel Islands,CHI,65032,65747,66482,67200,67849,68397,68822,69139,69403,69672,70008,70424,70899,71429,71998,72590,73194,73831,74491,75154,75816,76494,77168,77825,78438,79008,79517,79975,80392,80790,81191,81592,
Chile,CHL,6001655,6103043,6207998,6315483,6424019,6532457,6640398,6747792,6854152,6959036,7062089,7163054,7261830,7358467,7453148,7546045,7637058,7726202,7813920,7900802,7987253,8073485,8159356,8244468,8328264,8410313,8490472,8568890,8645811,8721602,8796511,8870613,
China,CHN,539244515,547311204,556154832,565190587,573946550,582470121,590531742,597891229,604889315,611842204,618586032,625140432,631590489,637697691,643281642,648445282,653289427,657832960,662117402,666239967,670338757,674246565,677920041,681538500,685073651,688532785,691988818,695519169,699105548,702781045,706463193,710373422,
Cote d'Ivoire,CIV,5326486,5530754,5734737,5940604,6151526,6369485,6594638,6825336,7059469,7294128,7526739,7757897,7987022,8209188,8418099,8609932,8782633,8939312,9087773,9238941,9401111,9576845,9765252,9966970,10181675,10408966,10649972,10905050,11171895,11447207,11728516,12014987,
Cameroon,CMR,4983715,5143115,5307364,5475447,5646035,5818117,5991574,6166530,6342538,6519194,6696373,6873890,7052392,7233672,7420122,7613609,7814743,8023497,8240243,8465225,8698515,8940453,9191007,9449398,9714511,9985476,10261999,10544144,10831843,11125150,11424071,11728500,
"Congo, Dem. Rep.",COD,14696284,15101799,15527853,15988760,16502797,17080404,17733155,18451088,19196987,19919458,20583369,21174261,21708096,22217682,22751254,23344548,24007833,24732822,25514332,26341061,27204715,28105901,29048942,30033110,31057568,32121415,33223919,34364130,35540628,36751756,37996076,39272891,
"Congo, Rep.",COG,1060748,1090921,1121486,1152586,1184402,1217098,1250707,1285274,1320954,1357939,1396357,1436449,1478242,1521449,1565639,1610578,1655862,1701800,1749730,1801471,1858181,1920572,1987860,2057802,2127248,2193987,2257191,2317625,2376720,2436627,2498947,2564076,
Colombia,COL,15424417,15747853,16069417,16388811,16705958,17020763,17332985,17642213,17947997,18249850,18547492,18840406,19128790,19413912,19697566,19980925,20264386,20547201,20827975,21104745,21375978,21641186,21900459,22153563,22400406,22640896,22874731,23101711,23321982,23535863,23743532,23945019,
Comoros,COM,177830,183111,188646,194386,200311,206384,212621,219005,225523,232131,238801,245530,252306,259141,265983,272852,279722,286625,293593,300705,308013,315524,323236,331158,339285,347625,356183,364951,373891,382950,392083,401276,
Cabo Verde,CPV,147649,150447,153034,155652,158642,162246,166554,171429,176667,181946,187043,191862,196471,200931,205370,209878,214466,219071,223621,227998,232139,235997,239624,243058,246361,249596,252762,255862,258949,262107,265365,268758,
Costa Rica,CRI,1378124,1413411,1448955,1485057,1522142,1560470,1600017,1640592,1681945,1723829,1765943,1808297,1850702,1892429,1932536,1970392,2005633,2038470,2069531,2099762,2129855,2160018,2190041,2219725,2248736,2276834,2303969,2330280,2355875,2380925,2405548,2429773,
Caribbean small states,CSS,2837160,2859417,2876652,2891295,2906831,2925754,2948935,2975535,3004287,3033305,3061076,3087345,3112605,3136923,3160502,3183594,3206066,3227905,3249342,3270742,3292321,3314134,3336145,3358336,3380706,3403185,3425787,3448438,3470830,3492504,3513170,3532693,
Cuba,CUB,5082263,5123402,5173844,5229279,5283393,5331570,5372461,5407291,5437189,5464222,5489893,5514263,5536720,5557438,5576602,5594317,5610952,5626569,5640575,5652125,5660733,5665968,5668410,5669773,5672428,5677983,5687229,5699483,5713077,5725558,5735178,5741376,
Curacao,CUW,74052,73901,73177,71965,70680,69769,69107,68681,68676,68658,68735,69133,69295,68000,65530,62850,60573,60666,61953,62989,64495,65938,66946,67459,67607,68245,69076,69580,70348,71306,72277,73247,
Cayman Islands,CYM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,CYP,355451,360140,366099,373085,380697,388626,396836,405363,414114,422946,431787,440540,449172,457775,466498,475424,484575,493849,503070,512006,520473,528421,535879,542863,549409,555576,561355,566746,571818,576676,581396,585992,
Czech Republic,CZE,5016533,5019378,5022058,5026078,5029152,5016169,5004867,5010937,5017259,5020232,5018301,5013655,5009543,5006056,5001999,4988766,4970324,4960655,4959561,4962868,4973660,4993580,5031263,5082444,5119837,5141037,5155439,5164338,5166319,5171631,5182047,5190466,
